An exponentially decaying sine wave on a constant background
x, y1, y2, y3, y4, y5, y6
 42.3, 1.40, 1.28, 1.50, 1.23, 1.47, 1.22
 43.1, 1.04, 1.17, 1.25, 0.90, 1.32, 1.24
 43.8, 0.69, 0.66, 0.67, 0.60, 0.70, 0.70
 44.6, 0.40, 0.38, 0.31, 0.18, 0.39, 0.25
 45.3,-0.24, 0.05, 0.02,-0.14,-0.10,-0.12
 46.1,-0.58,-0.53,-0.44,-0.56,-0.26,-0.58
 46.8,-0.65,-0.67,-0.64,-0.54,-0.60,-0.30
 47.6,-0.43,-0.55,-0.19,-0.15,-0.42,-0.59
 48.3,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11
 49.0, 0.12, 0.07, 0.16, 0.17, 0.22, 0.26
 49.8, 0.44, 0.53, 0.80, 0.41, 0.86, 0.76
 50.5, 0.96, 1.01, 0.83, 0.95, 1.20, 0.99
 51.3, 1.16, 1.02, 1.15, 1.21, 1.24, 1.10
 52.0, 1.10, 1.41, 0.94, 1.36, 1.38, 1.32
 52.8, 0.83, 0.91, 0.94, 1.12, 0.84, 1.14
 53.5, 0.56, 0.83, 0.75, 0.90, 0.86, 0.96
 54.3, 0.62, 0.34, 0.52, 0.27, 0.19, 0.54
 55.0, 0.10, 0.09, 0.30, 0.15, 0.16, 0.28
 55.7, 0.01,-0.11,-0.30,-0.28, 0.05,-0.38
 56.5,-0.27,-0.43,-0.03,-0.16,-0.27,-0.28
 57.2,-0.46,-0.15,-0.47,-0.45,-0.23,-0.44
 58.0, 0.08, 0.08, 0.03,-0.26,-0.00,-0.07
 58.7, 0.41, 0.25, 0.32, 0.15, 0.14, 0.34
 59.5, 0.26, 0.28, 0.30, 0.41, 0.63, 0.62
 60.2, 0.51, 0.68, 0.74, 0.69, 0.81, 0.79
 61.0, 0.81, 0.88, 0.67, 1.15, 0.75, 0.71
 61.7, 0.92, 0.83, 0.97, 0.90, 1.21, 1.19
 62.4, 0.70, 1.04, 0.81, 0.88, 0.95, 1.14
 63.2, 0.72, 1.00, 0.66, 0.86, 0.84, 0.78
 63.9, 0.62, 0.61, 0.36, 0.34, 0.77, 0.36
 64.7, 0.04, 0.31, 0.47, 0.36, 0.12, 0.21
 65.4, 0.04, 0.30,-0.11, 0.24, 0.14, 0.00
 66.2,-0.22,-0.10,-0.08,-0.26,-0.02,-0.21
 66.9,-0.15,-0.05,-0.22,-0.20,-0.04,-0.21
 67.7,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
 68.4, 0.35, 0.33, 0.30, 0.03, 0.19,-0.09
 69.1, 0.32, 0.26, 0.19, 0.19, 0.32, 0.15
 69.9, 0.61, 0.55, 0.66, 0.66, 0.63, 0.33
 70.6, 0.51, 0.64, 0.75, 0.81, 0.68, 0.89
 71.4, 0.93, 1.05, 0.84, 0.73, 0.62, 0.87
 72.1, 0.96, 0.78, 0.61, 0.70, 0.64, 0.71
 72.9, 0.70, 0.74, 0.70, 0.91, 0.73, 0.95
 73.6, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57
 74.4, 0.48, 0.17, 0.26, 0.25, 0.47, 0.56
 75.1, 0.13, 0.35, 0.30,-0.03, 0.26, 0.16
 75.9, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09
 76.6,-0.06, 0.17, 0.02,-0.20,-0.13, 0.14
 77.3, 0.04,-0.12,-0.02, 0.11,-0.10, 0.18
 78.1, 0.02, 0.36, 0.04, 0.29,-0.00, 0.05
 78.8, 0.09, 0.34, 0.39, 0.32, 0.26, 0.37
 79.6, 0.53, 0.55, 0.53, 0.68, 0.31, 0.56
 80.3, 0.47, 0.41, 0.65, 0.57, 0.58, 0.68
 81.1, 0.69, 0.69, 0.69, 0.69, 0.69, 0.69
 81.8, 0.60, 0.77, 0.76, 0.74, 0.90, 0.60
 82.6, 0.59, 0.49, 0.90, 0.75, 0.67, 0.75
 83.3, 0.60, 0.65, 0.60, 0.69, 0.59, 0.83
 84.0, 0.31, 0.25, 0.25, 0.23, 0.40, 0.42
 84.8, 0.25, 0.45, 0.38, 0.45, 0.53, 0.55
 85.5, 0.05, 0.02, 0.30,-0.00, 0.21, 0.22
 86.3, 0.32, 0.13, 0.08, 0.22, 0.26, 0.15
 87.0, 0.05,-0.04, 0.17, 0.01,-0.10, 0.26
 87.8, 0.05, 0.15, 0.27, 0.11, 0.30, 0.13
 88.5, 0.37, 0.38, 0.25, 0.04, 0.19, 0.24
 89.3, 0.28, 0.24, 0.55, 0.36, 0.59, 0.34
 90.0, 0.64, 0.45, 0.66, 0.63, 0.44, 0.36
